index,page_count,print_type,avg_rating,rating_count,is_ebook
9.78E+12,493,BOOK,,,TRUE
9.78E+12,260,BOOK,,,FALSE
9.78E+12,658,BOOK,4.5,3,TRUE
9.78E+12,672,BOOK,4,29,TRUE
9.78E+12,278,BOOK,,,TRUE
9.78E+12,528,BOOK,4.5,2,FALSE
9.78E+12,656,BOOK,,,FALSE
9.78E+12,217,BOOK,,,FALSE
9.78E+12,418,BOOK,,,FALSE
9.78E+12,240,BOOK,,,TRUE
9.78E+12,218,BOOK,,,TRUE
9.78E+12,686,BOOK,,,FALSE
9.78E+12,400,BOOK,3.5,3,TRUE
9.78E+12,455,BOOK,,,FALSE
9.78E+12,280,BOOK,,,TRUE
9.79E+12,404,BOOK,,,TRUE
9.78E+12,339,BOOK,,,FALSE
9.78E+12,232,BOOK,,,TRUE
9.78E+12,514,BOOK,4,2,TRUE
9.78E+12,264,BOOK,,,TRUE
1537600311,626,BOOK,,,FALSE
9.78E+12,141,BOOK,,,TRUE
9.78E+12,546,BOOK,5,1,TRUE
9.78E+12,600,BOOK,5,1,TRUE
9.78E+12,864,BOOK,,,TRUE
9.79E+12,414,BOOK,,,TRUE
9.78E+12,594,BOOK,,,TRUE
9.78E+12,272,BOOK,,,TRUE
1549617214,160,BOOK,3,1,FALSE
9.79E+12,220,BOOK,,,TRUE
9.78E+12,240,BOOK,,,TRUE
1777005469,302,BOOK,,,FALSE
9.78E+12,768,BOOK,,,TRUE
367381893,243,BOOK,,,FALSE
9.78E+12,640,BOOK,,,FALSE
9.78E+12,432,BOOK,,,TRUE
9.78E+12,368,BOOK,,,TRUE
9811533563,394,BOOK,,,FALSE
9.78E+12,448,BOOK,,,TRUE
9.78E+12,304,BOOK,,,TRUE
9533073691,484,BOOK,,,FALSE
9.78E+12,267,BOOK,,,FALSE
9.78E+12,472,BOOK,,,TRUE
9.78E+12,449,BOOK,,,FALSE
3319798642,434,BOOK,,,FALSE
9.78E+12,,BOOK,,,FALSE
9.78E+12,248,BOOK,,,TRUE
9.78E+12,336,BOOK,,,TRUE
1848829469,812,BOOK,,,FALSE
UCSC:32106017935773,360,BOOK,,,FALSE
9.78E+12,304,BOOK,,,TRUE
364235288X,769,BOOK,,,FALSE
9.78E+12,355,BOOK,,,TRUE
